date,subject,student_name,registration_number,email,attendance_status
2024-11-26,full stack,Ritik,23MCA1056,khareji1jan@gmail.com,Present
2024-11-26,full stack,abhishek,23MCA1026,abhishekdeb1963@gmail.com,Present
2024-11-26,full stack,Joel J Chalappuram,24MCA1061,joel.j.24mca1061@university.com,Absent
2024-11-26,full stack,Simran Roy,24MCA1044,simran.roy.24mca1044@university.com,Absent
2024-11-26,full stack,DHANUSHYA,24MCA1070,dhanushya.24mca1070@university.com,Absent
2024-11-26,full stack,Taslim Ahmad,24MCA1026,taslim.ahmad.24mca1026@university.com,Absent
2024-11-26,full stack,Krishna Singh Rathore,24MCA1016,krishna.rathore.24mca1016@university.com,Absent
2024-11-26,full stack,RAJKUMAR C,24MCA1050,rajkumar.c.24mca1050@university.com,Absent
2024-11-26,full stack,Shubham Kumar,24MCA1009,shubham.kumar.24mca1009@university.com,Absent
2024-11-26,full stack,Vishwas Kumar,24MCA1001,vishwas.kumar.24mca1001@university.com,Absent
2024-11-26,full stack,Dhruv Tiwari,24MCA1021,dhruv.tiwari.24mca1021@university.com,Absent
2024-11-26,full stack,E. Gokulnath,24MCA1031,gokulnath.e.24mca1031@university.com,Absent
2024-11-26,full stack,Shanuwaz Shaikh,24MCA1047,shanuwaz.shaikh.24mca1047@university.com,Absent
2024-11-26,full stack,Mitul Pipaliya,24MCA1058,mitul.pipaliya.24mca1058@university.com,Absent
2024-11-26,full stack,Yogendra,24MCA1062,yogendra.24mca1062@university.com,Absent
2024-11-26,full stack,Vivek Samadhiya,24MCA1008,vivek.samadhiya.24mca1008@university.com,Absent
2024-11-26,full stack,Man,24MCA1024,man.24mca1024@university.com,Absent
2024-11-26,full stack,Ashish Kumar,24MCA1012,ashish.kumar.24mca1012@university.com,Absent
2024-11-26,full stack,Piyush Kumar,24MCA1039,piyush.kumar.24mca1039@university.com,Absent
2024-11-26,full stack,Sanskar Kumar,24MCA1066,sanskar.kumar.24mca1066@university.com,Absent
2024-11-26,full stack,Kiran Behera,24MCA1059,kiran.behera.24mca1059@university.com,Absent
2024-11-26,full stack,Aakansha Singh,24MCA1037,aakansha.singh.24mca1037@university.com,Absent
2024-11-26,full stack,Nishant Pandey,24MCA1014,nishant.pandey.24mca1014@university.com,Absent
2024-11-26,full stack,S Arya,24MCA1049,s.arya.24mca1049@university.com,Absent
2024-11-26,full stack,Priya Gupta,24MCA1034,priya.gupta.24mca1034@university.com,Absent
2024-11-26,full stack,Anand Kumar,24MCA1051,anand.kumar.24mca1051@university.com,Absent
2024-11-26,full stack,Jeffrey Thomas,24MCA1068,jeffrey.thomas.24mca1068@university.com,Absent
2024-11-26,full stack,Vaishnavi Naidu,24MCA1025,vaishnavi.naidu.24mca1025@university.com,Absent
2024-11-26,full stack,Vaibhav Joshi,24MCA1027,vaibhav.joshi.24mca1027@university.com,Absent
2024-11-26,full stack,Bhargava Ram,24MCA1045,bhargava.ram.24mca1045@university.com,Absent
2024-11-26,full stack,Ashutosh Rana,24MCA1048,ashutosh.rana.24mca1048@university.com,Absent
2024-11-26,full stack,Nikhil Sharma,24MCA1004,nikhil.sharma.24mca1004@university.com,Absent
